category,changes,reasoning,phase,table_id,question,sql,result,query
Feature,['better prefetch and some more directed prompts'],The commit message describes an improvement or enhancement to the existing functionality of prefetch and prompts.,,,,,,
Other,['reverting back to rio'],The commit message does not fit into the defined categories.,,,,,,
Bug Fix,['fixed rio lol'],"The commit message contains the keyword 'fixed', suggesting that it addresses a problem or defect in the software.",,,,,,
Bug Fix,['does this fix it?'],"The commit message seems to be asking if the changes made fix a certain issue, indicating a bug fix.",,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Other,['I give up on unique tagging'],"The commit message does not fit into the defined categories, and seems to be a statement of abandonment or removal of a feature.",,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Other,['test new rio query'],"The commit message suggests testing or verification of some functionality, which doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Other,['cosmetics'],"The commit message suggests minor, superficial changes that do not affect the functionality of the software.",,,,,,
Feature,['file downloads for code execution (artifacts)'],The commit message introduces a new functionality related to file downloads.,,,,,,
Feature,['package installs'],"The commit message suggests that the commit is related to the installation of packages, which could be a new feature.",,,,,,
Feature,['edit timeout'],The commit message seems to indicate that some kind of edit or modification was made to a timeout feature or functionality.,,,,,,
"Bug Fix, Refactor","['artifact fixes', 'some stability improvements for code chat']","The commit message mentions fixing artifacts and improving stability, which suggests both bug fixing and refactoring.",,,,,,
Feature,['Add search tool to code interpreter'],The commit message indicates that a new functionality is being added to the code interpreter.,,,,,,
Other,['edit code interpreter prompt'],"The commit message does not provide enough information to categorize it as Bug Fix, Feature, or Refactor.",,,,,,
Other,[],"The commit message does not provide enough information to categorize it into Bug Fix, Feature, or Refactor.",,,,,,
Other,[],"The commit message does not fit into the defined categories, seems to be related to documentation/testing updates.",,,,,,
"Bug Fix, Refactor","['Fix citations across all', 'some bug fixes']","The commit message mentions fixing bugs and making corrections, indicating both bug fixes and refactoring.",,,,,,
Feature,['Pib UI - Initial Version'],"The commit message introduces a new UI component or feature, suggesting a new addition to the software.",,,,,,
Feature,['Python tools'],"The commit message suggests adding or enhancing tools for Python, which is a new feature.",,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Feature,['Update start agent prompt'],"The commit message mentions 'Update' which suggests that the commit is making changes to existing functionality or code, and the phrase 'start agent prompt' implies that the commit is related to the user interface or user experience.",,,,,,
Bug Fix,['Remove leading dot space'],"The commit message suggests that the commit is fixing or improving something, likely a bug or issue.",,,,,,
Other,['Update wikipedia'],"The commit message does not provide enough context to fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Feature,"['* ✨Add a conclusion tool', '* ✨Mock reasoning']",The commit message introduces new functionality by adding a conclusion tool and mock reasoning.,,,,,,
Feature,['Ability to enable / disable specific tools in the frontend'],"The commit message introduces a new functionality, enabling/disabling specific tools in the frontend.",,,,,,
Bug Fix,['Fix task prompt'],"The commit message contains the keyword 'Fix', which suggests that the commit is addressing an issue with the task prompt.",,,,,,
Bug Fix,['Fix task prompt pt.2'],"The commit message contains the keyword 'Fix', indicating that it addresses a problem or defect in the software.",,,,,,
Bug Fix,['Fix task prompt pt.3'],"The commit message contains the keyword 'Fix', indicating a bug fix.",,,,,,
Bug Fix,['Fix task prompt pt.4'],"The commit message contains the keyword 'Fix', indicating a bug fix.",,,,,,
Feature,['Language updates in prompts'],"The commit message mentions 'updates' which implies a change or improvement to the existing functionality, suggesting a new feature.",,,,,,
Feature,['Prompt update'],The commit message suggests updating or modifying an existing feature or functionality.,,,,,,
Bug Fix,['Error handling in streaming responses'],"The commit message mentions 'Error handling', which suggests that the commit is addressing a problem or defect in the software.",,,,,,
Bug Fix,['Handle multiline string in task output parser'],The commit message seems to be addressing a specific issue or problem in the task output parser.,,,,,,
Refactor,['Task memory'],"The commit message suggests improving or enhancing the memory management of a task, which falls under refactoring.",,,,,,
Feature,['Add sources to search results'],"The commit message indicates that new functionality is being added to the search results, specifically adding sources.",,,,,,
Feature,['Separate settings page'],"The commit message introduces a new feature or functionality, separating the settings page.",,,,,,
Feature,['Update citations prompt'],"The commit message indicates an update to the citations prompt, which suggests new or improved functionality.",,,,,,
Refactor,['⚡️ Functions (#798)'],The commit message suggests improving or enhancing existing functionality.,,,,,,
Bug Fix,['Fix functions'],"The commit message contains the keyword 'Fix' and the bug emoji, indicating a bug fix.",,,,,,
Feature,['Update create task prompt'],"The commit message suggests an update to the existing functionality, which implies the introduction of new or improved features.",,,,,,
"Refactor, Feature","['♻️ Refactor', 'add retries']",The commit message contains the keyword 'Refactor' and introduces new functionality with 'add retries'.,,,,,,
Bug Fix,['Fix sid refresh tokens'],"The commit message contains the keyword 'Fix', indicating that it addresses a specific issue.",,,,,,
Bug Fix,['Fix messaging'],"The commit message contains the keyword 'Fix', indicating a bug fix in the messaging functionality.",,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
"Bug Fix, Refactor",['Update prompts to query and fix'],"The commit message contains the keyword 'fix', which is often associated with bug fixes, and 'update', which could imply a change to existing functionality.",,,,,,
Bug Fix,['Fix prompting'],"The commit message contains the keyword 'Fix', indicating a bug fix.",,,,,,
Bug Fix,['Fix prompting'],"The commit message contains the keyword 'Fix', indicating a bug fix.",,,,,,
Bug Fix,['fix: structure faithfulness output (#333)'],"The commit message contains the keyword 'fix', which indicates that the commit is addressing a problem or defect in the software.",,,,,,
"Bug Fix, Refactor",['Fix: minor improvements across metrics'],"The commit message starts with 'Fix:', indicating a bug fix, and also mentions 'minor improvements', suggesting refactoring or improvement.",,,,,,
Bug Fix,['fix wrong number'],The commit message contains the keyword 'fix' and suggests correcting an error or defect in the software.,,,,,,
Bug Fix,['fix: faithfulness for unrelated answering'],The commit message contains the keyword 'fix' and describes a correction to the software's behavior.,,,,,,
"Feature, Refactor","[""this commit changes the verdict system in our natural language inference module from 'Yes/No' to a binary '1/0' format."", ""This modification aims to streamline decision-making and ensure consistency across various languages, enhancing the system's efficiency and reliability in multilingual contexts""]","The commit introduces a new functionality (binary format) and improves the system's efficiency and reliability, which are characteristic of feature and refactoring efforts.",,,,,,
Bug Fix,['fix: faithfulness for evasive/reject answers'],"The commit message contains the keyword 'fix' and references a specific issue (#392), indicating a bug fix.",,,,,,
Other,['kind of a failed experiment'],"The commit message is vague and suggests a failed experiment, but doesn't fit into the defined categories.",,,,,,
Feature,['add quote voice and section music'],"The commit message mentions 'add', which indicates the introduction of new functionality.",,,,,,
Other,['update prompts'],"The commit message suggests an update to existing data or functionality, but doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Other,"[""Merge branch 'main' into improvements""]",The commit message is related to a merge operation and does not fit into the defined categories.,,,,,,
Other,['nits'],"The commit message is brief and doesn't provide much context, but 'nits' suggests addressing minor issues or imperfections, which doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Bug Fix,['fix quote handling'],The commit message contains the keyword 'fix' and addresses a specific issue with quote handling.,,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Bug Fix,['better 11labs errors'],"The commit message suggests an improvement or correction related to '11labs errors', indicating a bug fix.",,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Feature,"['Add Form Recognizer integration. Keep local PDF parser option.', 'Add conversion of Form Recognizer tables in to HTML tables understandable by ChatGPT', 'Add FormRecognizer service into bicep deployments', 'Add Form Recognizer service as parameteres for prepdocs script.', 'Add image of the table with health plan cost into Benefit_Options.pdf. Now user can ask following questions:', 'Add additional prompt to return tabular data as html table.', 'Add table format for answer in CSS.']","The commit message introduces new functionality to the software, specifically integrating Azure Form Recognizer for document preprocessing and extracting text, tables, and document layout.",,,,,,
Refactor,"['Migration Completion api to chat completion api', 'Port completion api to chatCompletion api']","The commit message mentions migration and port, which suggests refactoring or improving the existing code structure.",,,,,,
Refactor,['removed CardLists for LLMs and ChatModels (#12307)'],"The commit message describes a removal of a feature or functionality to simplify the page layout and reduce manual work, which is a refactoring effort.",,,,,,
Other,['Update model i/o docs'],"The commit message suggests an update to documentation, which does not fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Other,['docs: Update chat model providers include package information'],"The commit message is related to documentation updates, which does not fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Other,['docs: update chat model feature table'],"The commit message indicates an update to the documentation, which does not fit into the categories of Bug Fix, Feature, or Refactor.",,,,,,
Other,"['docs: model table keywords, remove tool calling from llm']","The commit message suggests that the commit is focused on updating documentation, which does not fit into the categories of Bug Fix, Feature, or Refactor.",,,,,,
Other,['docs: update chat feat table'],The commit message suggests that the commit is related to documentation updates.,,,,,,
Other,"['docs: edit links, direct for notebooks']","The commit message is related to documentation updates, which does not fit into Bug Fix, Feature, or Refactor categories.",,,,,,
"Feature, Other","['Adds multimodal column to chat models table', 'docs[patch]:']","The commit message mentions the introduction of new functionality, but is also related to documentation updates.",,,,,,
Other,['Improve Groq integration page'],"The commit message is related to documentation updates, which does not fit into Bug Fix, Feature, or Refactor categories.",,,,,,
"Bug Fix, Other","['fixes #24430', 'docs: advanced feature note (#24456)']",The commit message is related to both bug fixing and documentation updates.,,,,,,
Other,['docs: integrations custom callout'],"The commit message suggests a documentation update, which does not fit into the categories of Bug Fix, Feature, or Refactor.",,,,,,
Other,['docs: chat model table nit'],"The commit message is related to updating or fixing documentation, which does not fit into the categories of Bug Fix, Feature, or Refactor.",,,,,,
Refactor,['Updated names and constructor args for GradingCriteria and CustomPrompt evals'],"The commit message mentions updates to the code structure or organization, which is a characteristic of refactoring.",,,,,,
Other,['merge conflict resolved'],"The commit message indicates resolving a merge conflict, which doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Refactor,"['Prompt improvements', 'read_line simplification']","The commit message mentions improvements and simplification, suggesting enhancements to existing code or functionality.",,,,,,
Feature,['add interval and local llms'],"The commit message starts with 'FEAT:' and describes the addition of new elements, indicating the introduction of new functionality.",,,,,,
Feature,['add time interval'],"The commit message starts with 'FEAT', indicating a new feature, and the phrase 'add time interval' suggests new functionality is being introduced.",,,,,,
Feature,['add event and automatic output time'],The commit message starts with 'feat:' and describes a new feature being added.,,,,,,
Bug Fix,['fix change WATCH into BUY'],"The commit message contains the keyword 'fix' and describes a specific correction being made, indicating a bug fix.",,,,,,
Feature,"['convert name to id in relationship', 'extend user', 'add gender']",The commit message starts with 'FEAT:' and mentions specific new functionality or enhancements to the software.,,,,,,
Other,"[""Merge branch 'trails'""]","The commit message is a merge operation, which does not fit into the defined categories of Bug Fix, Feature, or Refactor.",,,,,,
Bug Fix,['fix frontend bugs'],"The commit message contains the keyword 'fix' and mentions 'bugs', which suggests that the commit is addressing a problem or defect in the software.",,,,,,
Bug Fix,['FIX: time bugs'],"The commit message contains the keyword 'FIX' and addresses 'time bugs', indicating a bug fix.",,,,,,
Feature,['update prompt and profile'],"The commit message starts with 'FEAT:', indicating a new feature, and the message itself suggests introducing or updating functionality.",,,,,,
Feature,['change action distribution from normal to long-tailed'],"The commit message starts with 'FEAT:' and describes a change in the action distribution, indicating new functionality is being introduced.",,,,,,
Feature,['add api for interview and get statistics'],"The commit message starts with 'FEAT:' and contains the keyword 'add', indicating the introduction of new functionality.",,,,,,
Bug Fix,"[""FIX: (1) The prompt of sensory memory. (2) Interchange between RecAgentMemory and GenerativeAgentMemory by cmd arg '-m'.""]","The commit message starts with 'FIX:', indicating that it addresses a problem or defect in the software.",,,,,,
Other,['Update recagent.py'],"The commit message is too brief and doesn't provide any information about the changes made, so it's likely a minor update or maintenance task.",,,,,,
Bug Fix,['FIX: generate_feeling in first-person perspective'],"The commit message contains the keyword 'FIX', indicating that it addresses a problem or defect in the software.",,,,,,
Feature,['add description after movie name'],The commit message starts with 'FEAT:' and clearly states that it adds new functionality.,,,,,,
Other,['Update recagent.py'],"The commit message is too brief and doesn't provide any information about the changes made, so it's likely a minor update or maintenance task.",,,,,,
Bug Fix,['fix bug of recommender action'],"The commit message contains keywords 'fix' and 'bug', indicating a bug fix.",,,,,,
Feature,['add interview and role-play in backend'],The commit message starts with 'FEAT:' and describes the addition of new features in the backend.,,,,,,
Other,"[""Merge branch 'main' of github.com:Paitesanshi/RecAgent_v2 into main""]","The commit message is a merge operation, which is a repository management task and doesn't fit into the categories of Bug Fix, Feature, or Refactor.",,,,,,
Feature,['FEAT: RecAgent 3.0'],"The commit message starts with 'FEAT:', which suggests that the commit is introducing new functionality or a new feature to the software.",,,,,,
Refactor,"['enhance intention', 'update the related code in main.py']","The commit message mentions enhancement and update to the code, which suggests a refactoring of the existing code.",,,,,,
Feature,['add stop tokens'],The commit message introduces new functionality with the keyword 'add'.,,,,,,
Bug Fix,['fix intention detect'],"The commit message contains the keyword 'fix', indicating that it addresses a problem or defect in the software.",,,,,,
Other,['Update prompts'],"The commit message suggests updating existing content or functionality, but doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Other,['Move examples to end of prompt'],"The commit message describes a change in the organization or structure of content, which does not fit into the categories of Bug Fix, Feature, or Refactor.",,,,,,
Other,['Reorder examples'],"The commit message implies a reorganization or rearrangement of existing examples, which doesn't change the functionality of the software.",,,,,,
Refactor,"['Refactor, update .env.example']","The commit message contains the keyword 'Refactor' and mentions updating a specific file, which suggests improving or enhancing the code structure or organization.",,,,,,
Feature,['Add missing spinner'],The commit message indicates that new functionality is being added to the software.,,,,,,
Other,['Some prompt updates'],"The commit message does not provide enough context to fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Refactor,['Improve management of context length'],The commit message indicates an improvement to the existing code structure or functionality.,,,,,,
Feature,"[""Add 'internal_monologue' command""]","The commit message indicates that a new command is being added to the system, introducing new functionality.",,,,,,
Other,['Update critic prompt:'],"The commit message does not fit into the defined categories of Bug Fix, Feature, or Refactor, as it appears to be updating documentation or a prompt.",,,,,,
Other,['Update critic prompt'],"The commit message does not fit into the defined categories, but suggests an update to existing code or functionality.",,,,,,
Other,['Prompt updates'],"The commit message suggests updates to existing content or functionality, but doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Other,['Prompt updates'],"The commit message suggests updates to existing content or functionality, but doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Other,['Update prompt'],"The commit message is brief and doesn't provide much context, but the word 'Update' suggests that the commit is making changes to an existing functionality or component.",,,,,,
Refactor,['Refactor into MiniAGI class'],"The commit message contains the keyword 'Refactor', indicating improvements to the code structure or organization.",,,,,,
Other,['Update prompts'],"The commit message suggests updating existing content or functionality, but doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Feature,"['Data processing, iteration 1']",The commit message seems to be related to a new functionality or an enhancement to the existing data processing feature.,,,,,,
Refactor,['Better data processing'],"The commit message suggests an improvement or enhancement to the code, specifically related to data processing.",,,,,,
Refactor,['Better data processing'],"The commit message suggests an improvement or enhancement to the code, specifically related to data processing.",,,,,,
Other,['Update prompts'],"The commit message suggests updating existing content or functionality, but doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Feature,['Add exception handling to file and url handlers'],The commit message introduces new functionality by adding exception handling to file and url handlers.,,,,,,
Other,['Prompt updates'],"The commit message suggests updates to existing content or functionality, but doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Other,['Prompt updates'],"The commit message suggests updates to existing content or functionality, but doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Bug Fix,['Fix typo in prompt'],"The commit message contains the keyword 'Fix', indicating that it addresses a specific issue.",,,,,,
Refactor,['Refactor data processing commands'],"The commit message contains the keyword 'Refactor', indicating improvements to the code structure or organization.",,,,,,
Refactor,['replace get_context with context_fn'],"The commit message indicates a replacement of a function or variable name, which is a typical refactoring change.",,,,,,
Refactor,['more type hinting'],"The commit message suggests improving the code by adding more type hints, which is a refactoring activity.",,,,,,
"Feature, Bug Fix, Refactor","['* Added langchain and improve NLE', '* Added correlation direction', '* Added openai to dev requirements', '* Fixed old text generate code', '* Tweaked prompt', '* More work on prompt', '* Updated prompt for single vs multi molecules', '* More prompt refinement', '* Model changes', '* Removed oai key dependency', '* Updated notebook experiments']","The commit includes changes that introduce new functionality, fix existing issues, and improve the code structure or organization.",,,,,,
Feature,"['iframe support:', 'update the prompt and agent to account for GPTWebElement wrapper over WebElement.']",The commit message introduces new functionality related to iframe support and updates existing code to accommodate it.,,,,,,
Feature,['add a find_element to make it easier to distinguish from find_elements'],The commit message introduces new functionality with the keyword 'add' and explains its purpose.,,,,,,
Refactor,['simplify send_keys'],"The commit message suggests improving the code structure or organization, which is characteristic of a refactor.",,,,,,
"Bug Fix, Feature","['make scroll work with left/right, and with iframes.', 'also get_text_from_page change entire_page boolean to mean all text nodes, and distinguish by visibility or not.', 'not really working with iframes']","The commit message describes changes to fix or improve existing functionality, specifically related to scrolling and text extraction from pages.",,,,,,
Bug Fix,['because of exact match issue'],"The commit message mentions fixing an exact match issue, which suggests that it addresses a specific problem or defect.",,,,,,
Feature,['add support for ChatGPT'],The commit message mentions adding new functionality (support for ChatGPT) which is a characteristic of a feature.,,,,,,
Feature,['add memory'],"The commit message mentions adding new functionality, which suggests a feature introduction.",,,,,,
Feature,['add screenshotting capability'],The commit message indicates that new functionality is being added to the software.,,,,,,
"Refactor, Feature","['black code', 'add a screenshot check for size']",The commit message describes both a refactoring change to the code and the addition of new functionality to check screenshot sizes.,,,,,,
Other,['shorten the instructions a bit'],"The commit message indicates a change to documentation or text, rather than functionality changes.",,,,,,
Refactor,['be more forceful in the prompt to use normalize-space instead of text in the xpath'],"The commit message enhances the existing behavior by improving the prompt, which falls under refactoring.",,,,,,
"Feature, Refactor","['add more error handling', 'change embedding querying to use ChatGPT', 'get rid of nltk']","The commit introduces new functionality to handle errors and changes the implementation of a feature, and also refactors the code by removing a dependency.",,,,,,
Feature,['add displayed in viewport boolean capability'],"The commit message mentions 'add', which indicates the introduction of new functionality, specifically a new capability.",,,,,,
Feature,['add scroll option'],The commit message indicates that a new feature or functionality is being added to the software.,,,,,,
Feature,['0.2.26 gpt3.5 and retries'],"The commit message describes a version update and mentions a specific technology and feature, suggesting the introduction of new functionality.",,,,,,
Refactor,['improve prompt'],"The commit message contains the keyword 'improve', suggesting enhancement or refinement of existing functionality.",,,,,,
Refactor,['fiddle with prompt to make normalize-space closer to the end'],The commit message describes a minor adjustment to the prompt to improve the existing code.,,,,,,
Bug Fix,['wrap element.text as well because iframes suck.'],"The commit message addresses a specific issue with iframes, suggesting a bug fix.",,,,,,
Refactor,['simplify the prompt structure somewhat'],"The commit message indicates that the code has been reorganized to make the prompt structure simpler, which suggests a refactoring effort.",,,,,,
Refactor,"[""don't insist on starting with an env.get""]","The commit message describes a change to the code that relaxes a constraint or assumption, making it more flexible.",,,,,,
Refactor,['no more confusion around equals'],"The commit message suggests that some changes have been made to remove confusion around the equals sign, and now the content only contains text, which implies an improvement to the code or functionality.",,,,,,
Refactor,['make find_nearest more robust'],"The commit message indicates an enhancement to the existing functionality, making the find_nearest function more robust.",,,,,,
Refactor,['keeping it simple'],The commit message describes a change that simplifies the code structure or organization without changing its functionality.,,,,,,
Feature,['add support for gpt-3.5-turbo-16k'],The commit message introduces new functionality by adding support for a specific feature.,,,,,,
Other,['Update audio-chatgpt.py'],"The commit message is too brief and doesn't provide enough information to categorize it as Bug Fix, Feature, or Refactor.",,,,,,
Other,['update generspeech'],"The commit message is brief and doesn't provide much context, but the keyword 'update' suggests that the commit is making changes to an existing functionality or component.",,,,,,
Other,['Update audio-chatgpt.py'],"The commit message is too brief and doesn't provide enough information to categorize it as Bug Fix, Feature, or Refactor.",,,,,,
Other,['more experiments'],The commit message does not provide enough information to fit into the defined categories.,,,,,,
Other,['testing LaTeX escape'],The commit message does not fit into the defined categories.,,,,,,
Other,"['term notation examples isProp, 3']","The commit message seems to be related to documentation or examples, and doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Refactor,['some refactoring'],"The commit message mentions refactoring, indicating improvements to the code structure or organization.",,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Bug Fix,['fix bugs'],The commit message contains the keyword 'fix' which is a strong indicator of a bug fix.,,,,,,
Bug Fix,['Fixing the multiline sql queries'],"The commit message contains the keyword 'Fixing', which is a strong indicator of a bug fix.",,,,,,
Bug Fix,['Passing missing context into prompt'],The commit message suggests that the code is being modified to fix an issue with missing context.,,,,,,
Feature,['Assert environment variables'],"The commit message suggests adding or modifying a check or validation for environment variables, which is a new functionality.",,,,,,
Feature,['add streamlit'],The commit message introduces new functionality or a new component to the software.,,,,,,
Bug Fix,['Corrected output'],The commit message suggests that the commit is fixing an issue or defect in the software.,,,,,,
"Bug Fix, Refactor","['Corrected recipe name', 'improved speed']","The commit message corrects a bug in the recipe name and improves the speed, indicating both a bug fix and a refactoring.",,,,,,
Refactor,['Optimized recipe generation'],"The commit message suggests improving the performance or efficiency of the recipe generation process, which is related to refactoring.",,,,,,
"Bug Fix, Feature","['Updated the error handling', 'added default templates and providing values in any case', 'leading to overall stability improvement']",The commit message suggests both bug fixes (stability improvement) and new functionality (added default templates and providing values in any case).,,,,,,
"Refactor, Feature","['improved flows', 'optimized prompt correction string', 'Handled the loading from templates']","The commit message suggests enhancements to existing functionality, improving its performance and structure.",,,,,,
"Refactor, Feature","['move num_source_docs argument', 'added additional score checks']",The commit message suggests both a change in code structure (refactor) and the addition of new functionality (feature).,,,,,,
Feature,['generate pydantic object'],"The commit message suggests introducing a new functionality or feature, specifically generating a pydantic object.",,,,,,
Feature,['add generate interactive'],"The commit message contains the keyword 'add', indicating the introduction of new functionality.",,,,,,
Refactor,['move interactive mode outside lib'],"The commit message describes a change in the organization or structure of the code, which is a characteristic of refactoring.",,,,,,
Feature,['add the extra info'],"The commit message contains the keyword 'add', indicating the introduction of new functionality.",,,,,,
Feature,['✨ Pettingzoo and functional llm agents'],The commit message introduces new functionality or agents related to Pettingzoo and llm.,,,,,,
Feature,['parse the history to a text format'],The commit message introduces a new functionality to parse history into a text format.,,,,,,
Feature,['add baseAgent'],"The commit message contains the keyword 'add', indicating the introduction of new functionality or a feature.",,,,,,
Refactor,['adapt to new generate api'],"The commit message suggests adapting the code to work with a new API, which implies refactoring the existing code structure or functionality.",,,,,,
Other,"[""Merge branch 'feature/integrate_pettingzoo' of github.com:XuhuiZhou/sotopia into feature/integrate_pettingzoo""]","The commit message appears to be a merge operation, which is a maintenance or organizational task.",,,,,,
Refactor,['reformat the generation'],"The commit message describes a change to the code structure or behavior, which is a characteristic of a refactoring commit.",,,,,,
Feature,['add logging'],"The commit message indicates that a new functionality, logging, is being added to the software.",,,,,,
Other,['Update ai_function.py'],The commit message does not provide enough information to determine the category.,,,,,,
Feature,['Support multiple providers + Anthropic support'],"The commit message mentions the addition of new functionality with specific features, indicating a new feature.",,,,,,
Other,['Update ai_function.py'],The commit message does not provide enough information to determine the category.,,,,,,
Other,[],The commit message is too brief and does not fit into the defined categories.,,,,,,
Other,['a bunch of tests'],"The commit message suggests that the commit is related to testing, which is not a functionality change.",,,,,,
"Bug Fix, Other","['jinja fix', 'more docs']",The commit message describes both a bug fix related to Jinja and an update to documentation.,,,,,,
Other,"[""Haven't tested yet. Combining all runs!""]",The commit message does not provide enough information to determine its category and seems to be a note or a todo item.,,,,,,
Feature,['update text similarity prompt to encourage it over label filtering when no label classes exist'],"The commit introduces a new behavior to the text similarity prompt, which is a new functionality.",,,,,,
Feature,['Change the default port to 11220.'],The commit introduces a new configuration to the software.,,,,,,
Bug Fix,['Filter out unsupported proxy protocols.'],The commit message contains the keyword ':bug:' and addresses a specific issue or defect in the software.,,,,,,
Feature,['enable doh for default nameserver by default'],"The commit message introduces a new functionality, enabling DOH for default nameservers by default.",,,,,,
Bug Fix,['apply salvage correct diffs'],"The commit message implies fixing or correcting something, which is typical of a bug fix.",,,,,,
Other,['changes after running pre-comit checks'],"The commit message does not provide enough information to fit into Bug Fix, Feature, or Refactor categories.",,,,,,
"Refactor, Other","['check for new files only when applying diff', 'update test cases']",The commit message describes a change in functionality (Refactor) and an update to test cases (Other).,,,,,,
Feature,['Now specifying image and prompt with dedicated arguments'],"The commit introduces a new way of specifying image and prompt using dedicated arguments, which implies a change in functionality.",,,,,,
Feature,['add useful code snippets to system message'],"The commit message mentions adding new content, which indicates the introduction of new functionality.",,,,,,
Feature,"['more precise code snippet hint, demo notebook']","The commit message describes an update to a demo notebook, specifically related to code snippet hints, which suggests an addition to the existing functionality.",,,,,,
Feature,['replace static list of available libraries with a longer list and check if the libs are installed'],"The commit introduces new functionality to the software, replacing a static list with a longer list and adding a check for installed libraries.",,,,,,
Feature,['force bob to show text-explanation'],"The commit message introduces a new behavior or functionality to the system, specifically related to displaying additional information.",,,,,,
Refactor,['move final instructions to the end of the prompt'],"The commit message describes a change to the organization or structure of the code, which is a characteristic of a refactor.",,,,,,
Refactor,['Make prompt more generic for non-python requests'],"The commit message improves the existing prompt to make it more generic, which is a refactoring change.",,,,,,
Feature,['add support for gpt-4-vision-preview'],"The commit message mentions 'add support', which indicates that new functionality is being introduced.",,,,,,
Other,['Update src/bia_bob/_utilities.py'],"The commit message is too brief and doesn't provide enough information to categorize it as Bug Fix, Feature, or Refactor.",,,,,,
Feature,['added example and hints to system message'],The commit message indicates that new content or functionality has been introduced.,,,,,,
Feature,"['support aicsimageio for loading image files other than tif, jpg and png']",The commit message mentions the addition of new functionality to support loading image files of different formats using aicsimageio.,,,,,,
Refactor,['simplified prompt to avoid code snippet duplicates'],The commit message describes an improvement or refinement to the existing code structure or functionality.,,,,,,
Bug Fix,"[""only propose stackview if it's installed""]","The commit message seems to be addressing a specific condition or constraint for proposing a certain feature or functionality, implying a fix or improvement to the existing behavior.",,,,,,
Bug Fix,"[""only propose skimage if it's installed""]","The commit message addresses a specific condition or constraint related to the proposal of skimage, suggesting a fix or improvement to the current functionality.",,,,,,
Feature,['add support for Goolge gemini / Vertex AI API'],"The commit message mentions 'add support', which indicates that new functionality is being introduced to the software.",,,,,,
Feature,['make bia-bob extensible via entry_points'],The commit message introduces new functionality to make the system extensible.,,,,,,
Refactor,['remove stackview from code snippets as this comes via plugin extensions'],The commit is refactoring the code to rely on external plugins rather than having it embedded.,,,,,,
Bug Fix,"[""generate code three times in case generations didn't work in 1. or 2. attempt""]",The commit message describes a change that addresses a potential issue or defect in the code generation process.,,,,,,
Refactor,['select code more precisely'],The commit message describes a refinement or improvement to the existing code.,,,,,,
Other,['add a hint for how to use regionprops'],"The commit message indicates a documentation update, which does not fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Feature,['better support for opening czi files'],"The commit message mentions an improvement to the existing functionality, specifically adding better support for opening czi files.",,,,,,
Refactor,['simplify prompt'],"The commit message suggests improving or enhancing the code structure or organization, which is a characteristic of refactoring.",,,,,,
Refactor,['move suggestions to individual files per library'],"The commit message describes a change to the organization or structure of the code, improving its organization without changing its functionality.",,,,,,
"Feature, Refactor",['add reflection to refine code after generating it'],"The commit message introduces new functionality (reflection) and refines the code, fitting into both Feature and Refactor categories.",,,,,,
Feature,"['allow multiple usage of tools in search, internet, index chat']","The commit message introduces a new functionality or enhances an existing one, allowing multiple usage of tools.",,,,,,
Bug Fix,['Update citations to new special character to avoid parse conflicts'],"The commit message addresses a specific issue with citations and parse conflicts, which suggests that it's fixing a problem.",,,,,,
